Temperature,Humidity,Rainfall,pH,N,P,K,Soil,Crop,Fertilizer
31.59,47.73,102.12,7.24,16.0,23.1,25.4,sandy,mango,Urea and DAP
23.4,93.53,110.95,6.6,24.3,24.7,14.2,alluvial,orange,Good NPK
31.4,87.9,113.95,6.92,109.8,67.3,54.9,Clayey,banana,Good NPK
22.92,93.32,110.67,6.12,17.5,142.4,205.7,laterite,apple,DAP and MOP
8.11,82.49,71.04,6.58,20.7,130.0,200.5,alluvial,grapes,DAP and MOP
30.03,67.95,74.77,5.7,21.6,74.3,24.2,alluvial,blackgram,Good NPK
21.22,27.81,123.78,5.79,19.4,66.9,15.7,sandy,kidneybeans,DAP and MOP
9.62,88.42,68.12,5.52,16.3,133.2,200.9,laterite,grapes,DAP and MOP
29.8,77.55,87.52,6.97,120.8,56.6,21.7,Clayey,cotton,Urea and MOP
23.2,69.75,53.19,6.52,20.5,73.9,17.1,sandy,lentil,DAP and MOP
28.3,75.3,110.43,5.7,103.1,59.1,48.3,clay loam,banana,Good NPK
34.49,58.19,59.83,6.22,19.0,42.7,16.6,sandy,mothbeans,DAP and MOP
23.41,91.08,117.79,5.99,19.2,143.1,196.1,laterite,apple,DAP and MOP
26.59,81.73,189.79,6.66,82.1,50.0,42.0,Clayey,jute,Urea and DAP
26.46,72.99,47.33,7.02,21.8,56.0,22.8,alluvial,lentil,DAP and MOP
26.96,63.08,148.62,6.23,98.5,31.3,27.9,laterite,coffee,Good NPK
30.85,85.08,101.02,6.96,24.1,23.9,15.7,clay loam,orange,Good NPK
23.03,69.93,50.01,6.01,24.6,56.4,18.5,sandy,lentil,DAP and MOP
34.95,69.67,67.6,6.16,25.0,65.8,17.8,clay loam,blackgram,Good NPK
32.86,81.94,107.3,6.91,105.5,71.1,49.3,clay loam,banana,Good NPK
16.54,23.54,122.86,6.31,18.9,61.8,20.4,sandy,kidneybeans,DAP and MOP
19.88,92.43,107.92,6.5,25.0,74.9,36.9,laterite,pomegranate,Urea and MOP
24.71,76.87,175.26,6.53,72.2,51.1,42.4,silty clay,jute,Urea and DAP
35.78,91.22,154.09,6.05,53.8,44.1,49.1,Clayey,papaya,Urea and DAP
24.11,65.01,50.22,7.79,24.2,56.9,24.6,clay loam,lentil,DAP and MOP
28.0,92.18,174.83,5.18,5.2,5.3,4.1,coastal,coconut,MOP
16.16,18.42,127.91,6.35,18.8,73.7,21.8,alluvial,kidneybeans,DAP and MOP
18.98,20.64,114.49,5.81,22.0,63.5,18.5,clay loam,kidneybeans,DAP and MOP
32.01,53.84,47.0,6.32,18.5,46.1,22.3,laterite,mothbeans,DAP and MOP
37.87,91.81,149.15,6.6,53.0,40.8,46.9,sandy,papaya,Urea and DAP
15.35,23.32,99.23,7.99,31.6,59.8,76.9,clay loam,chickpea,DAP and MOP
28.26,85.32,48.35,6.48,100.6,15.6,45.5,clay loam,watermelon,Urea and MOP
27.42,47.78,105.91,7.29,17.6,24.8,28.1,sandy,mango,Urea and DAP
28.2,53.1,108.12,6.88,20.9,19.4,25.3,alluvial,mango,Urea and DAP
26.5,62.01,85.01,6.73,71.8,49.2,48.8,clay loam,maize,Good NPK
31.45,80.33,100.47,5.57,96.9,74.9,52.5,Clayey,banana,Good NPK
20.16,85.25,184.2,6.1,72.3,41.1,35.1,laterite,rice,Urea and DAP
29.9,51.23,46.71,3.57,21.7,52.8,19.1,alluvial,mothbeans,DAP and MOP
22.55,90.37,123.03,6.72,18.3,122.1,209.2,laterite,apple,DAP and MOP
19.01,19.59,124.71,6.82,16.2,73.3,22.2,sandy,kidneybeans,DAP and MOP
22.06,73.51,47.67,7.6,15.2,55.1,17.3,sandy,lentil,DAP and MOP
18.5,15.83,74.01,6.3,39.3,74.4,74.1,alluvial,chickpea,DAP and MOP
23.55,20.07,102.07,5.61,20.9,58.7,18.3,sandy,kidneybeans,DAP and MOP
28.18,80.38,93.89,6.17,126.6,48.9,22.7,clay loam,cotton,Urea and MOP
31.36,49.87,142.86,5.54,21.9,60.3,24.4,laterite,pigeonpeas,Good NPK
15.94,19.5,80.63,6.56,45.0,66.2,73.3,clay loam,chickpea,DAP and MOP
18.42,20.61,94.74,7.52,49.3,64.8,67.3,clay loam,chickpea,DAP and MOP
32.6,90.66,24.69,6.15,95.8,15.3,49.8,alluvial,muskmelon,Good NPK
10.4,84.77,67.71,6.73,23.2,121.1,206.3,laterite,grapes,DAP and MOP
26.83,69.73,46.91,7.04,24.2,68.5,24.9,clay loam,lentil,DAP and MOP
23.68,93.4,111.27,6.58,20.5,121.8,203.1,clay loam,apple,DAP and MOP
27.18,80.88,61.41,6.29,18.1,72.2,24.6,clay loam,mungbean,Urea and DAP
33.14,55.28,144.34,5.22,16.9,68.3,23.8,clay loam,pigeonpeas,Good NPK
17.76,19.0,72.83,7.29,31.9,62.1,76.4,alluvial,chickpea,DAP and MOP
23.25,75.6,81.16,6.75,116.6,53.8,17.3,alluvial,cotton,Urea and MOP
21.96,14.05,79.22,7.24,41.9,62.8,71.2,sandy,chickpea,DAP and MOP
30.9,51.11,140.42,5.94,22.9,67.0,17.0,clay loam,pigeonpeas,Good NPK
12.06,89.38,67.12,5.68,24.1,122.4,204.1,clay loam,grapes,DAP and MOP
21.04,94.05,121.84,6.91,22.9,139.0,208.7,laterite,apple,DAP and MOP
20.9,20.26,113.5,6.08,15.8,65.9,23.6,sandy,kidneybeans,DAP and MOP
30.42,64.6,65.72,6.25,21.7,71.5,15.1,laterite,blackgram,Good NPK
27.11,62.37,73.3,6.44,17.3,71.3,20.9,laterite,blackgram,Good NPK
27.06,50.88,143.06,6.79,18.4,57.9,21.9,alluvial,pigeonpeas,Good NPK
27.36,58.94,145.07,6.09,110.0,34.5,28.8,clay loam,coffee,Good NPK
23.53,66.15,50.3,6.25,20.2,70.5,20.6,clay loam,lentil,DAP and MOP
25.84,84.26,86.88,6.71,126.4,57.7,15.2,clay loam,cotton,Urea and MOP
26.1,94.88,103.85,6.7,15.8,15.1,11.4,clay loam,orange,Good NPK
21.03,92.93,107.44,6.27,21.3,58.0,39.7,clay loam,pomegranate,Urea and MOP
27.72,85.96,101.28,6.24,16.6,18.7,8.8,coastal,orange,MOP
23.77,90.65,110.82,5.98,16.5,137.5,198.9,laterite,apple,DAP and MOP
27.71,46.22,43.12,6.48,22.4,47.2,21.7,laterite,mothbeans,DAP and MOP
23.89,60.28,149.31,6.4,105.1,25.6,34.2,laterite,coffee,Good NPK
18.72,67.27,54.08,7.86,19.2,64.0,21.0,alluvial,lentil,DAP and MOP
22.04,63.82,87.58,7.4,79.0,51.7,41.5,alluvial,maize,Good NPK
26.42,69.21,103.5,6.75,82.3,51.1,43.0,clay loam,maize,Good NPK
21.55,90.36,101.1,5.72,20.1,59.0,38.2,laterite,pomegranate,Urea and MOP
33.47,90.06,25.45,6.22,112.8,12.7,54.2,alluvial,muskmelon,Good NPK
18.27,59.62,86.06,6.91,79.8,51.7,41.4,clay loam,maize,Good NPK
25.54,81.9,52.84,6.06,15.4,74.9,17.3,clay loam,mungbean,Urea and DAP
25.34,88.54,188.67,6.83,77.7,53.8,42.1,Clayey,jute,Urea and DAP
24.24,58.31,100.41,5.66,79.0,46.6,47.9,alluvial,maize,Good NPK
24.39,73.53,53.82,7.47,16.4,70.3,22.9,alluvial,lentil,DAP and MOP
18.8,26.41,73.15,7.93,32.1,68.1,77.3,alluvial,chickpea,DAP and MOP
26.96,88.2,53.38,6.97,19.2,63.4,22.9,alluvial,mungbean,Urea and DAP
24.58,95.35,164.24,6.35,5.3,4.3,5.7,laterite,coconut,DAP
25.42,91.41,166.59,5.73,4.2,4.5,4.4,laterite,coconut,Urea
24.44,81.95,83.89,7.48,115.8,51.2,20.4,alluvial,cotton,Urea and MOP
24.18,27.51,110.71,6.37,18.7,62.8,22.5,clay loam,kidneybeans,DAP and MOP
23.51,14.01,89.1,6.04,48.7,72.5,69.2,clay loam,chickpea,DAP and MOP
33.12,45.21,53.38,5.45,17.1,45.7,19.0,sandy,mothbeans,DAP and MOP
27.85,58.45,155.86,6.17,109.9,34.3,31.5,alluvial,coffee,Good NPK
29.86,65.66,73.01,6.88,18.6,74.9,19.8,laterite,blackgram,Good NPK
23.96,80.38,88.3,6.29,130.8,46.6,20.4,Clayey,cotton,Urea and MOP
25.89,61.26,109.71,6.42,84.8,50.2,44.3,clay loam,maize,Good NPK
30.44,49.13,45.43,5.63,20.9,48.0,24.7,laterite,mothbeans,DAP and MOP
21.6,69.06,46.12,7.94,22.5,69.6,21.3,clay loam,lentil,DAP and MOP
20.01,25.95,101.51,6.56,20.2,61.0,15.8,clay loam,kidneybeans,DAP and MOP
33.02,81.62,112.73,6.24,100.0,58.0,50.0,alluvial,banana,Good NPK
25.87,83.21,54.35,6.66,111.5,8.5,46.7,sandy,watermelon,DAP
10.24,86.43,70.07,5.91,18.4,127.7,209.0,alluvial,grapes,DAP and MOP
20.09,65.39,53.28,7.48,18.4,73.7,24.1,clay loam,lentil,DAP and MOP
25.69,64.84,67.54,5.83,24.4,68.5,16.2,laterite,blackgram,Good NPK
22.92,88.83,190.99,5.99,62.1,39.6,37.2,Clayey,rice,Urea and DAP
21.28,92.85,108.42,6.01,24.7,60.1,43.6,laterite,pomegranate,Urea and MOP
31.43,48.82,98.25,7.41,19.4,24.4,26.4,sandy,mango,Urea and DAP
26.4,91.99,152.01,5.03,5.8,5.6,4.4,coastal,coconut,MOP
29.52,83.5,94.9,6.14,128.1,41.5,21.0,clay loam,cotton,Urea and MOP
26.43,56.13,51.96,4.23,18.7,52.5,15.1,laterite,mothbeans,DAP and MOP
26.41,82.86,59.96,6.78,22.4,70.8,16.2,alluvial,mungbean,Urea and DAP
26.57,68.96,49.25,6.4,24.4,56.0,18.5,alluvial,lentil,DAP and MOP
9.78,89.11,67.86,5.76,21.9,120.1,201.4,alluvial,grapes,DAP and MOP
32.25,53.61,151.66,6.33,15.6,63.4,19.6,clay loam,pigeonpeas,Good NPK
26.13,85.59,109.79,6.87,101.8,69.2,49.4,alluvial,banana,Good NPK
20.77,67.05,89.34,6.58,79.7,47.6,42.8,alluvial,maize,Good NPK
31.03,75.86,107.95,6.84,97.0,74.0,45.6,clay loam,banana,Good NPK
33.93,92.56,22.34,6.64,106.1,11.2,47.1,sandy,muskmelon,Good NPK
8.62,85.11,72.67,6.18,15.1,123.8,201.3,laterite,grapes,DAP and MOP
18.57,71.73,51.63,7.06,17.0,56.7,21.1,alluvial,lentil,DAP and MOP
27.08,83.31,52.11,6.86,110.8,9.5,47.6,alluvial,watermelon,DAP
32.86,75.27,104.97,6.22,105.7,68.7,46.3,clay loam,banana,Good NPK
23.18,93.33,123.05,6.81,18.0,134.0,205.7,alluvial,apple,DAP and MOP
26.56,48.92,92.76,6.48,21.8,20.2,32.8,sandy,mango,Urea and DAP
27.69,47.98,46.13,4.24,24.1,51.4,16.8,sandy,mothbeans,DAP and MOP
26.63,85.11,112.09,5.7,102.9,69.5,50.8,Clayey,banana,Good NPK
22.56,90.25,112.56,6.13,15.9,24.2,14.2,alluvial,orange,Good NPK
30.82,88.71,114.38,6.11,20.8,21.7,13.7,coastal,orange,Good NPK
22.39,92.08,124.37,5.72,24.8,141.6,199.8,laterite,apple,DAP and MOP
25.13,79.1,179.61,6.93,71.4,46.9,39.3,silty clay,jute,Urea and DAP
32.27,46.07,93.69,5.91,18.6,16.1,29.2,alluvial,mango,Urea and DAP
20.32,80.41,243.33,6.78,75.2,35.1,36.2,silty clay,rice,Urea and DAP
9.79,85.08,71.71,5.74,19.1,125.8,203.0,laterite,grapes,DAP and MOP
22.93,19.07,101.25,7.71,40.7,58.2,75.4,alluvial,chickpea,DAP and MOP
35.11,94.27,140.97,6.77,48.2,45.8,51.9,Clayey,papaya,Urea and DAP
23.39,63.48,97.97,6.93,78.2,52.7,40.1,clay loam,maize,Good NPK
29.64,89.43,23.12,6.49,100.4,13.3,53.1,sandy,muskmelon,Good NPK
37.77,91.41,141.37,6.38,45.0,52.7,45.7,sandy,papaya,Urea and DAP
24.73,80.33,173.48,6.34,68.1,51.5,35.2,silty clay,jute,Urea and DAP
26.31,61.99,107.55,6.46,72.3,49.1,48.6,clay loam,maize,Good NPK
21.31,93.69,114.85,6.18,21.9,128.0,197.7,laterite,apple,DAP and MOP
25.53,55.38,143.4,5.92,19.3,62.0,15.5,clay loam,pigeonpeas,Good NPK
25.06,64.64,152.28,6.2,114.6,26.3,26.0,laterite,coffee,Good NPK
23.3,94.18,122.34,5.68,15.2,141.4,205.4,laterite,apple,DAP and MOP
24.43,90.56,147.44,7.14,5.2,5.7,4.0,laterite,coconut,MOP
18.53,72.55,47.4,7.91,22.6,69.3,18.7,clay loam,lentil,DAP and MOP
31.89,54.39,103.38,6.0,23.9,22.2,30.8,sandy,mango,Urea and DAP
30.0,85.6,25.49,6.96,98.7,8.9,54.7,alluvial,muskmelon,DAP
25.74,85.61,195.23,6.23,76.3,42.6,44.3,Clayey,jute,Urea and DAP
27.49,84.24,82.71,7.57,125.3,43.9,22.6,alluvial,cotton,Urea and MOP
30.54,90.72,102.24,6.68,19.0,16.9,10.2,alluvial,orange,Good NPK
23.23,90.36,111.72,6.78,19.2,73.9,44.0,clay loam,pomegranate,Urea and MOP
29.18,64.44,72.17,5.95,16.4,72.3,23.7,clay loam,blackgram,Good NPK
23.36,84.21,237.54,6.68,61.8,42.9,40.9,laterite,rice,Urea and DAP
32.62,56.72,44.08,4.33,16.8,42.8,20.8,alluvial,mothbeans,DAP and MOP
35.44,93.97,23.79,6.93,111.6,13.3,48.9,alluvial,muskmelon,Good NPK
26.41,85.76,56.25,6.58,100.9,9.3,49.4,clay loam,watermelon,DAP
24.62,68.56,47.95,7.62,23.0,66.2,22.4,clay loam,lentil,DAP and MOP
28.87,45.99,152.4,5.04,21.8,66.3,24.3,laterite,pigeonpeas,Good NPK
11.95,83.93,69.27,6.77,18.8,140.9,209.5,clay loam,grapes,DAP and MOP
34.69,48.94,56.73,4.44,22.1,41.9,18.2,laterite,mothbeans,DAP and MOP
23.6,90.92,106.1,5.88,16.4,65.4,36.1,clay loam,pomegranate,Urea and MOP
24.28,86.16,184.34,6.53,73.1,45.0,44.8,silty clay,jute,Urea and DAP
25.62,85.91,47.31,6.61,98.9,15.8,46.5,clay loam,watermelon,Urea and MOP
24.66,55.62,161.35,6.26,102.5,30.8,25.1,alluvial,coffee,Good NPK
26.57,84.48,179.33,6.35,72.5,43.7,41.9,silty clay,jute,Urea and DAP
23.53,91.65,120.57,5.63,15.2,122.9,207.7,laterite,apple,DAP and MOP
24.59,84.51,199.35,6.86,72.5,43.8,44.1,alluvial,jute,Urea and DAP
23.99,85.61,106.39,6.36,15.0,15.3,14.6,coastal,orange,Good NPK
31.62,53.17,111.48,5.76,17.9,24.6,32.3,sandy,mango,Urea and DAP
15.12,21.7,111.79,5.54,22.6,57.0,23.9,sandy,kidneybeans,DAP and MOP
29.83,81.18,46.37,6.96,97.1,14.9,48.1,alluvial,watermelon,Urea and MOP
25.84,57.11,152.26,6.72,22.4,61.5,23.9,clay loam,pigeonpeas,Good NPK
28.67,79.28,86.52,7.4,131.1,49.0,20.2,clay loam,cotton,Urea and MOP
24.71,85.39,112.96,7.27,23.9,15.1,15.1,alluvial,orange,Good NPK
25.77,81.94,50.74,6.55,106.3,15.6,45.7,clay loam,watermelon,Urea and MOP
32.0,85.34,25.46,6.82,106.4,10.9,53.3,coastal,muskmelon,Good NPK
28.87,75.22,91.36,6.47,118.2,40.2,16.7,alluvial,cotton,Urea and MOP
23.17,18.67,125.56,6.08,23.1,59.3,19.7,sandy,kidneybeans,DAP and MOP
21.54,19.67,84.27,7.05,44.5,70.8,71.1,clay loam,chickpea,DAP and MOP
34.84,69.06,73.33,5.58,24.3,58.3,15.0,clay loam,blackgram,Good NPK
21.9,67.41,48.6,6.03,20.1,65.0,16.1,clay loam,lentil,DAP and MOP
24.83,80.11,172.46,6.47,63.9,47.7,41.0,Clayey,jute,Urea and DAP
20.25,91.16,104.57,6.6,25.0,72.7,43.1,clay loam,pomegranate,Urea and MOP
32.16,93.32,29.43,6.31,95.4,12.9,48.7,sandy,muskmelon,Good NPK
25.01,95.51,145.47,7.01,4.9,5.3,4.2,coastal,coconut,MOP
28.33,83.93,109.09,5.64,96.4,64.8,54.8,clay loam,banana,Good NPK
36.0,91.68,27.92,6.54,104.9,9.1,54.6,alluvial,muskmelon,DAP
27.95,75.03,105.11,5.84,93.4,56.1,53.7,alluvial,banana,Good NPK
23.33,67.37,100.34,6.2,87.0,50.0,44.8,clay loam,maize,Good NPK
22.56,71.1,49.07,6.51,24.3,74.0,15.7,clay loam,lentil,DAP and MOP
8.37,80.23,66.49,6.06,22.2,137.0,207.5,laterite,grapes,DAP and MOP
24.92,61.1,159.37,6.25,98.3,28.5,33.2,clay loam,coffee,Good NPK
23.77,19.29,104.56,6.68,42.0,56.3,78.2,clay loam,chickpea,DAP and MOP
33.87,88.94,57.3,6.5,20.4,64.5,18.9,sandy,mungbean,Urea and DAP
27.62,72.75,51.07,7.24,21.6,64.1,23.4,clay loam,lentil,DAP and MOP
32.18,61.24,70.5,6.4,16.3,60.2,20.8,laterite,blackgram,Good NPK
32.04,83.38,101.66,6.86,107.8,59.2,51.7,clay loam,banana,Good NPK
23.11,75.87,198.42,6.86,69.8,52.1,39.1,alluvial,jute,Urea and DAP
29.97,49.2,98.35,5.88,22.1,15.5,27.7,sandy,mango,Urea and DAP
34.28,46.37,53.45,4.36,21.9,54.6,15.5,laterite,mothbeans,DAP and MOP
31.49,59.32,49.55,3.95,15.6,56.3,24.4,laterite,mothbeans,DAP and MOP
26.21,80.54,55.55,6.76,113.7,10.5,54.4,sandy,watermelon,Urea and MOP
30.76,63.42,67.38,6.71,22.8,64.7,22.9,alluvial,blackgram,Good NPK
29.23,89.2,100.6,6.14,22.2,21.4,12.5,clay loam,orange,Good NPK
25.7,88.81,49.35,6.33,96.0,8.0,51.0,alluvial,watermelon,DAP
22.84,90.22,122.98,5.68,15.7,131.6,199.5,laterite,apple,DAP and MOP
22.46,93.92,115.03,6.23,15.8,121.8,197.9,clay loam,apple,DAP and MOP
27.03,61.62,152.52,6.16,109.9,31.3,31.8,clay loam,coffee,Good NPK
29.31,65.11,69.25,5.71,15.2,57.1,16.7,alluvial,blackgram,Good NPK
27.54,82.98,45.56,6.04,107.2,9.3,50.3,clay loam,watermelon,DAP
23.4,84.37,90.49,7.17,118.4,59.5,19.9,Clayey,cotton,Urea and MOP
23.04,55.15,95.53,6.15,80.0,51.2,47.0,sandy,maize,Good NPK
32.5,67.0,65.57,5.96,24.8,68.2,23.2,alluvial,blackgram,Good NPK
8.84,85.89,67.66,6.3,24.1,141.2,196.9,alluvial,grapes,DAP and MOP
19.6,27.83,80.22,7.09,41.2,57.2,71.7,alluvial,chickpea,DAP and MOP
15.34,89.35,71.44,6.76,23.9,132.8,207.4,alluvial,grapes,DAP and MOP
27.39,92.01,168.79,6.58,5.3,4.6,4.9,sandy,coconut,DAP
25.15,83.62,105.62,6.1,112.0,63.2,47.9,clay loam,banana,Good NPK
32.69,89.35,61.39,7.36,23.5,55.3,20.1,sandy,mungbean,Urea and DAP
33.86,47.27,46.57,3.96,15.8,47.7,18.7,laterite,mothbeans,DAP and MOP
26.79,80.74,87.59,7.83,127.9,59.9,15.1,Clayey,cotton,Urea and MOP
23.27,18.48,123.22,6.59,23.8,64.2,16.0,clay loam,kidneybeans,DAP and MOP
26.52,81.46,86.26,6.42,129.1,47.1,23.9,clay loam,cotton,Urea and MOP
28.87,88.79,45.49,6.07,95.8,9.0,47.2,clay loam,watermelon,DAP
27.93,91.46,155.63,6.94,4.2,4.2,5.2,coastal,coconut,Urea
13.06,81.35,72.93,5.73,24.7,120.4,204.0,alluvial,grapes,DAP and MOP
23.98,90.91,123.08,6.21,21.4,140.5,195.1,laterite,apple,DAP and MOP
36.41,92.25,140.02,6.24,52.2,47.9,50.2,alluvial,papaya,Urea and DAP
21.1,82.5,244.31,6.32,73.9,39.1,36.7,Clayey,rice,Urea and DAP
27.02,84.92,49.18,6.17,109.9,12.0,51.5,clay loam,watermelon,Urea and MOP
26.89,58.28,160.97,6.24,95.9,30.4,25.2,clay loam,coffee,Good NPK
23.71,93.95,118.47,6.11,18.7,133.3,209.3,laterite,apple,DAP and MOP
12.36,85.5,70.65,6.24,17.3,134.7,203.6,laterite,grapes,DAP and MOP
31.34,53.18,97.76,6.78,23.3,22.8,26.9,alluvial,mango,Urea and DAP
25.4,90.79,173.54,5.38,4.7,5.9,4.0,sandy,coconut,MOP
27.98,66.88,45.99,6.3,21.9,60.2,17.5,clay loam,lentil,DAP and MOP
31.71,86.97,62.59,6.54,22.1,57.1,23.4,sandy,mungbean,Urea and DAP
29.99,89.25,26.05,6.76,109.9,11.7,47.3,coastal,muskmelon,Good NPK
26.88,92.65,156.91,6.97,5.7,5.8,4.7,coastal,coconut,MOP
27.75,86.89,100.47,6.91,16.1,23.3,13.6,alluvial,orange,Good NPK
31.72,87.8,21.75,6.27,101.8,12.5,50.9,alluvial,muskmelon,Good NPK
24.93,94.21,100.98,6.26,16.6,21.3,8.4,coastal,orange,MOP
32.0,51.16,154.14,6.12,16.1,72.5,20.2,clay loam,pigeonpeas,Good NPK
21.74,93.4,115.59,6.81,19.2,135.5,201.7,laterite,apple,DAP and MOP
18.23,29.95,91.25,7.96,39.7,57.4,75.9,clay loam,chickpea,DAP and MOP
29.16,61.67,73.21,6.98,18.4,74.6,21.3,alluvial,blackgram,Good NPK
26.92,64.82,148.4,6.19,112.1,25.6,31.6,clay loam,coffee,Good NPK
16.41,24.22,117.35,6.67,18.7,59.5,17.0,sandy,kidneybeans,DAP and MOP
25.0,94.9,174.03,5.33,5.6,4.6,5.1,laterite,coconut,DAP
17.65,14.34,103.71,6.16,32.0,68.2,76.5,clay loam,chickpea,DAP and MOP
30.45,47.04,41.49,6.18,21.5,43.1,24.8,laterite,mothbeans,DAP and MOP
25.95,51.75,57.41,4.51,17.3,56.3,24.3,alluvial,mothbeans,DAP and MOP
16.53,80.69,68.29,6.26,16.6,130.0,203.7,clay loam,grapes,DAP and MOP
17.74,15.27,100.77,6.17,32.1,69.5,73.7,clay loam,chickpea,DAP and MOP
22.9,91.26,104.13,6.74,17.3,19.9,11.1,clay loam,orange,Good NPK
27.15,69.65,50.98,6.13,24.6,58.5,16.8,clay loam,lentil,DAP and MOP
30.0,67.65,73.07,5.9,21.3,63.8,15.4,alluvial,blackgram,Good NPK
33.01,81.81,104.78,6.51,107.0,58.7,47.7,alluvial,banana,Good NPK
25.46,92.75,172.74,7.26,6.0,5.2,6.0,sandy,coconut,DAP
28.69,91.55,105.2,6.67,22.9,17.7,12.8,alluvial,orange,Good NPK
20.58,87.77,218.18,6.34,79.7,42.5,38.8,silty clay,rice,Urea and DAP
29.14,80.4,64.11,6.41,20.5,56.7,18.8,sandy,mungbean,Urea and DAP
27.3,95.06,155.66,7.02,5.5,5.0,5.8,laterite,coconut,DAP
10.8,88.72,67.06,5.73,19.4,141.1,202.3,alluvial,grapes,DAP and MOP
33.32,47.66,55.45,5.67,20.9,51.8,15.7,sandy,mothbeans,DAP and MOP
26.26,93.15,145.69,7.17,5.8,5.4,5.6,coastal,coconut,DAP
23.44,27.81,125.61,6.69,19.5,59.2,15.5,clay loam,kidneybeans,DAP and MOP
25.73,93.17,176.8,5.82,4.8,5.8,4.6,coastal,coconut,MOP
26.57,57.41,48.38,3.63,15.7,47.9,16.8,sandy,mothbeans,DAP and MOP
28.31,79.24,110.96,6.33,93.2,69.3,45.7,clay loam,banana,Good NPK
22.67,91.5,100.08,6.18,23.5,24.5,14.9,alluvial,orange,Good NPK
27.23,82.58,51.51,6.37,104.5,12.0,49.9,sandy,watermelon,Urea and MOP
25.7,56.49,156.67,6.17,108.5,34.0,32.7,clay loam,coffee,Good NPK
34.11,68.21,65.49,6.64,20.5,58.8,16.0,laterite,blackgram,Good NPK
32.58,90.69,25.92,6.69,104.0,15.5,52.4,sandy,muskmelon,Good NPK
23.88,61.1,149.62,6.13,100.4,26.2,30.6,alluvial,coffee,Good NPK
36.81,89.21,25.9,6.84,105.9,9.2,49.5,sandy,muskmelon,DAP
21.11,94.89,123.11,5.51,16.0,123.9,209.4,laterite,apple,DAP and MOP
29.95,76.96,103.09,6.54,111.7,69.9,53.6,clay loam,banana,Good NPK
23.31,59.02,92.28,6.75,76.8,47.6,43.8,alluvial,maize,Good NPK
34.74,87.04,22.64,6.93,103.8,13.8,53.9,coastal,muskmelon,Good NPK
33.22,61.39,65.48,6.62,16.2,59.6,16.1,laterite,blackgram,Good NPK
22.0,92.59,118.69,5.84,18.0,140.6,197.3,laterite,apple,DAP and MOP
29.69,60.71,68.36,6.73,21.8,58.8,20.2,clay loam,blackgram,Good NPK
33.05,56.4,42.98,3.96,20.3,43.2,20.7,alluvial,mothbeans,DAP and MOP
25.61,88.51,55.97,6.17,101.6,8.8,55.0,sandy,watermelon,DAP
29.36,89.43,107.35,6.75,108.3,72.4,46.0,alluvial,banana,Good NPK
26.26,82.97,59.99,6.89,101.9,14.0,53.5,alluvial,watermelon,Urea and MOP
29.2,52.45,55.53,6.25,17.0,41.3,23.9,alluvial,mothbeans,DAP and MOP
20.44,81.48,241.84,5.7,75.2,40.3,42.2,laterite,rice,Urea and DAP
24.61,90.49,173.99,6.29,5.8,4.6,5.9,sandy,coconut,DAP
32.1,50.34,90.23,5.79,15.6,18.3,26.4,alluvial,mango,Urea and DAP
13.1,89.57,67.2,5.98,16.8,139.1,206.8,laterite,grapes,DAP and MOP
19.25,91.25,104.2,6.71,20.3,55.0,37.4,alluvial,pomegranate,Urea and MOP
15.52,19.91,121.95,5.97,15.1,63.7,23.8,sandy,kidneybeans,DAP and MOP
11.77,81.94,70.05,5.93,21.9,133.0,207.5,clay loam,grapes,DAP and MOP
26.34,80.93,169.11,6.56,66.8,40.1,42.2,Clayey,jute,Urea and DAP
20.61,85.37,247.09,6.38,73.6,42.9,40.0,Clayey,rice,Urea and DAP
26.69,80.39,81.46,7.72,125.7,57.2,15.6,Clayey,cotton,Urea and MOP
31.7,84.02,57.51,6.45,18.2,71.9,19.8,alluvial,mungbean,Urea and DAP
33.46,66.35,67.07,5.56,20.3,74.9,23.0,alluvial,blackgram,Good NPK
21.33,24.44,110.0,6.73,15.3,72.4,20.3,sandy,kidneybeans,DAP and MOP
26.79,87.75,260.53,6.91,70.4,40.5,36.8,silty clay,rice,Urea and DAP
14.89,84.41,68.86,6.57,18.4,140.2,205.4,laterite,grapes,DAP and MOP
22.06,91.16,117.64,6.43,15.1,142.5,203.7,laterite,apple,DAP and MOP
21.46,93.21,104.39,6.77,19.1,57.2,35.8,laterite,pomegranate,Urea and MOP
30.14,58.55,152.27,6.78,16.2,69.0,19.2,laterite,pigeonpeas,Good NPK
20.13,58.52,93.26,7.27,81.8,51.0,44.0,alluvial,maize,Good NPK
20.93,63.85,109.53,6.37,74.5,46.6,46.5,sandy,maize,Good NPK
23.21,91.08,117.62,6.1,16.1,133.3,207.9,alluvial,apple,DAP and MOP
31.32,45.82,154.61,6.29,23.6,57.2,24.3,laterite,pigeonpeas,Good NPK
24.81,91.61,157.42,5.22,5.3,5.2,4.1,laterite,coconut,MOP
32.3,59.1,152.95,6.21,18.0,57.1,19.4,laterite,pigeonpeas,Good NPK
34.56,92.55,146.25,6.86,48.3,54.2,46.8,Clayey,papaya,Urea and DAP
35.23,90.26,147.91,6.3,48.2,41.9,47.1,sandy,papaya,Urea and DAP
19.21,14.43,70.1,7.93,46.0,64.6,65.3,sandy,chickpea,DAP and MOP
22.36,94.84,105.39,6.68,17.5,20.4,14.4,clay loam,orange,Good NPK
